Konto;Saldo
65;80000,00
320;18000,00
800;-25000,00
840;-30000,00
860;-83520,00
868;184267,43
970;-5000,00
980;1200,00
1000;2000,00
1200;44000,00
1590;400,00
2200;6000,00
3400;7008,41
3405;63554,45
4120;78800,00
4210;23700,00
4260;1800,00
4360;1000,00
4530;1800,00
4600;1200,00
4630;75,00
4640;3000,00
4650;400,00
4830;1600,00
4832;3000,00
4900;17238,00
4920;4743,49
4930;6900,00
4970;6138,01
4980;169,00
4985;14195,54
8100;200,00
8400;-66700,00
8401;-342291,43
8404;-16497,90
8500;-1000,00
10001;3570,00
70001;-5950,00
